Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C34,C40,C46",C_0402_1005Metric,C307331,4
0.47uF,"C24,C25,C26,C27",C_0402_1005Metric,C47339,4
1.5k,R5,R_0402_1005Metric,C25867,1
1.5nF,C38,C_0402_1005Metric,C668348,1
100K,"R25,R26,R28",R_0402_1005Metric,C136979,3
100R,"R30,R9",R_0402_1005Metric,C25076,2
100k,R11,R_0402_1005Metric,C25741,1
100nF,"C10,C13,C19,C2,C20,C3,C4,C45,C47,C5,C6",C_0402_1005Metric,C307331,11
10K,"R15,R24",R_0402_1005Metric,C60489,2
10k,"R10,R8",R_0402_1005Metric,C60489,2
10uF,"C1,C39,C7",C_0402_1005Metric,C15525,3
12pF,"C8,C9",C_0402_1005Metric,C26406,2
15nF,C29,C_0402_1005Metric,C114405,1
1K,R16,R_0402_1005Metric,C306197,1
1K,R12,R_0402_1005Metric,C852624,1
1M,R27,R_0402_1005Metric,C26083,1
1uF,"C12,C17,C18,C23,C33,C41,C42",C_0402_1005Metric,C52923,7
2.2nH,L1,L_0402_1005Metric,C86061,1
2.2nH,L5,L_0402_1005Metric,C91240,1
24nH,L2,L_0402_1005Metric,C275275,1
2N7002,Q1,SOT-23,C8545,1
3.3pF,"C21,C22",C_0402_1005Metric,C88892,2
3.9k,R6,R_0402_1005Metric,C131467,1
33,"R20,R21,R22,R23,R29,R31",R_0402_1005Metric,C25105,6
4.7nF,"C43,C44",C_0402_1005Metric,C1518204,2
4.7nF,C48,C_0402_1005Metric,C1538,1
4.7uF,"C14,C15,C16,C28",C_0402_1005Metric,C23733,4
470nF,"C30,C31,C32",C_0402_1005Metric,C471404,3
470pF,C37,C_0402_1005Metric,C1537,1
47k,R4,R_0402_1005Metric,C25792,1
47pF,"C35,C36",C_0402_1005Metric,C1567,2
5.1K,R13,R_0402_1005Metric,C25905,1
5.1k,"R1,R14,R2,R3,R7",R_0402_1005Metric,C25905,5
750 mA,F1,Fuse_0603_1608Metric,C914092,1
AD5941BCPZ,U4,QFN50P700X700X80-49N,C503573,1
ADS1292IRSMT,U10,QFN40P400X400X100-33N,C89288,1
AP2112K-3.3,U5,SOT-23-5,C22365427,1
BLM15PX121SN1D,"L10,L11,L12,L13,L14,L15,L3,L4,L6,L7,L8,L9",L_0402_1005Metric,C88970,12
BQ24075RGT,U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464,1
Conn_01x02_Socket,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752,1
Conn_01x10,J5,JST_SH_SM10B-SRSS-TB_1x10-1MP_P1.00mm_Horizontal,C160409,1
Crystal_GND24,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C5246840,1
D,D1,D_SOD-323,C151996,1
ESP32-S3,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,C2913194,1
LED,D2,LED_0603_1608Metric,C12065,1
LED,D3,LED_0603_1608Metric,C2287,1
MAX17048,U7,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,C2682616,1
SW_Push,"SW1,SW3",SW_TS-1088-AR02016,C720477,2
SW_SPDT,SW2,SW_SSSS811101,C109335,1
TPD4E001DRSR.,"U12,U13",SON95P315X315X80-7N,C1973310,2
TPS7A20xxxDBV,U2,SOT-23-5,C2862740,1
USBLC6-2P6,U6,SOT-666,C15999,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVP,U8,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862,1
Thermistor_NTC,TH1,PinHeader_1x02_P2.54mm_Vertical,,1
S0941-46R,J10,HARWIN_S0941-46R,,1
Antenna_Dipole,AE1,Texas_SWRA117D_2.4GHz_Left,,1
S0941-46R,J9,HARWIN_S0941-46R,,1
