Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Dipole,Texas_SWRA117D_2.4GHz_Left,34.575,-76.0875,90.0,top
C1,10uF,C_0402_1005Metric,45.1,-68.43,-90.0,top
C10,100nF,C_0402_1005Metric,59.79,-48.2,180.0,top
C11,0.1uF,C_0402_1005Metric,60.625,-61.35,180.0,top
C12,1uF,C_0402_1005Metric,62.625,-61.35,0.0,top
C13,100nF,C_0402_1005Metric,52.38,-54.035,0.0,top
C14,4.7uF,C_0402_1005Metric,42.1,-54.58,0.0,top
C15,4.7uF,C_0402_1005Metric,37.28,-51.4,180.0,top
C16,4.7uF,C_0402_1005Metric,37.9,-57.59,-90.0,top
C17,1uF,C_0402_1005Metric,54.55,-57.7025,-90.0,top
C18,1uF,C_0402_1005Metric,52.98,-59.4,0.0,top
C19,100nF,C_0402_1005Metric,56.75,-55.1,180.0,top
C2,100nF,C_0402_1005Metric,45.1,-62.13,-90.0,top
C20,100nF,C_0402_1005Metric,40.01,-48.2,0.0,top
C21,3.3pF,C_0402_1005Metric,46.82,-70.7375,180.0,top
C22,3.3pF,C_0402_1005Metric,46.82,-74.6375,180.0,top
C23,1uF,C_0402_1005Metric,57.7,-71.98,90.0,top
C24,0.47uF,C_0402_1005Metric,49.22,-88.575,0.0,top
C25,0.47uF,C_0402_1005Metric,47.75,-79.7,90.0,top
C26,0.47uF,C_0402_1005Metric,49.22,-87.575,0.0,top
C27,0.47uF,C_0402_1005Metric,38.74,-85.425,180.0,top
C28,4.7uF,C_0402_1005Metric,43.85,-90.145,-90.0,top
C29,15nF,C_0402_1005Metric,46.85,-90.145,90.0,top
C3,100nF,C_0402_1005Metric,55.0,-65.77,90.0,top
C30,470nF,C_0402_1005Metric,38.95,-90.145,90.0,top
C31,470nF,C_0402_1005Metric,40.95,-90.145,-90.0,top
C32,470nF,C_0402_1005Metric,39.95,-90.145,90.0,top
C33,1uF,C_0402_1005Metric,63.195,-70.87,-90.0,top
C34,0.1uF,C_0402_1005Metric,65.9,-90.145,-90.0,top
C35,47pF,C_0402_1005Metric,53.67,-89.055,0.0,top
C36,47pF,C_0402_1005Metric,55.65,-89.055,180.0,top
C37,470pF,C_0402_1005Metric,54.645,-87.975,180.0,top
C38,1.5nF,C_0402_1005Metric,50.7,-85.335,-90.0,top
C39,10uF,C_0402_1005Metric,58.32,-86.925,180.0,top
C4,100nF,C_0402_1005Metric,56.0,-65.77,90.0,top
C40,0.1uF,C_0402_1005Metric,58.32,-85.925,180.0,top
C41,1uF,C_0402_1005Metric,58.32,-84.925,0.0,top
C42,1uF,C_0402_1005Metric,51.43,-83.05,90.0,top
C43,4.7nF,C_0402_1005Metric,52.64,-87.975,180.0,top
C44,4.7nF,C_0402_1005Metric,56.65,-87.975,180.0,top
C45,100nF,C_0402_1005Metric,49.23,-83.7,180.0,top
C46,0.1uF,C_0402_1005Metric,63.32,-74.2,180.0,top
C47,100nF,C_0402_1005Metric,49.23,-82.65,180.0,top
C48,4.7nF,C_0402_1005Metric,41.95,-90.145,90.0,top
C5,100nF,C_0402_1005Metric,49.18,-70.75,0.0,top
C6,100nF,C_0402_1005Metric,49.18,-74.65,180.0,top
C7,10uF,C_0402_1005Metric,50.75,-74.2,90.0,top
C8,12pF,C_0402_1005Metric,41.3,-70.07,-90.0,top
C9,12pF,C_0402_1005Metric,41.3,-68.07,90.0,top
D1,D,D_SOD-323,54.3,-52.85,90.0,top
D2,LED,LED_0603_1608Metric,43.115,-44.9125,-90.0,top
D3,LED,LED_0603_1608Metric,56.685,-44.9125,-90.0,top
F1,750 mA,Fuse_0603_1608Metric,45.935,-52.995,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,49.9,-47.005,0.0,top
J10,S0941-46R,HARWIN_S0941-46R,36.65,-81.29,90.0,top
J2,Conn_01x02_Socket,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,39.185,-61.25,0.0,bottom
J5,Conn_01x10,JST_SH_SM10B-SRSS-TB_1x10-1MP_P1.00mm_Horizontal,67.625,-82.5,90.0,top
J9,S0941-46R,HARWIN_S0941-46R,57.25,-91.35,0.0,top
L1,2.2nH,L_0402_1005Metric,48.74,-72.735,-90.0,top
L10,BLM15PX121SN1D,L_0402_1005Metric,63.34,-84.014286,180.0,top
L11,BLM15PX121SN1D,L_0402_1005Metric,63.34,-86.978929,180.0,top
L12,BLM15PX121SN1D,L_0402_1005Metric,58.76,-83.45,90.0,top
L13,BLM15PX121SN1D,L_0402_1005Metric,63.35,-81.5,180.0,top
L14,BLM15PX121SN1D,L_0402_1005Metric,63.36,-79.985714,180.0,top
L15,BLM15PX121SN1D,L_0402_1005Metric,63.36,-78.985714,0.0,top
L2,24nH,L_0402_1005Metric,42.48,-70.05,90.0,top
L3,BLM15PX121SN1D,L_0402_1005Metric,52.37,-51.71,180.0,top
L4,BLM15PX121SN1D,L_0402_1005Metric,45.47,-51.71,180.0,top
L5,2.2nH,L_0402_1005Metric,47.26,-72.7375,-90.0,top
L6,BLM15PX121SN1D,L_0402_1005Metric,57.7,-70.04,-90.0,top
L7,BLM15PX121SN1D,L_0402_1005Metric,38.74,-84.275,0.0,top
L8,BLM15PX121SN1D,L_0402_1005Metric,63.34,-85.4075,180.0,top
L9,BLM15PX121SN1D,L_0402_1005Metric,63.34,-82.5,180.0,top
Q1,2N7002,SOT-23,41.6625,-57.15,90.0,top
R1,5.1k,R_0402_1005Metric,62.49,-48.2,180.0,top
R10,10k,R_0402_1005Metric,44.95,-58.11,-90.0,top
R11,100k,R_0402_1005Metric,59.9,-57.7275,-90.0,top
R12,1K,R_0402_1005Metric,39.18,-87.325,-90.0,top
R13,5.1K,R_0402_1005Metric,58.671667,-57.7275,-90.0,top
R14,5.1k,R_0402_1005Metric,56.7575,-59.4,180.0,top
R15,10K,R_0402_1005Metric,41.84,-79.2,0.0,top
R16,1K,R_0402_1005Metric,61.85,-85.39,90.0,top
R2,5.1k,R_0402_1005Metric,44.0,-49.885,-90.0,top
R20,33,R_0402_1005Metric,55.6,-69.25,180.0,top
R21,33,R_0402_1005Metric,55.6,-68.25,180.0,top
R22,33,R_0402_1005Metric,55.6,-67.25,180.0,top
R23,33,R_0402_1005Metric,54.43,-81.065,90.0,top
R24,10K,R_0402_1005Metric,57.75,-81.065,-90.0,top
R25,100K,R_0402_1005Metric,61.415,-81.5,180.0,top
R26,100K,R_0402_1005Metric,61.415,-79.985714,180.0,top
R27,1M,R_0402_1005Metric,49.67,-85.335,-90.0,top
R28,100K,R_0402_1005Metric,61.415,-78.985714,180.0,top
R29,33,R_0402_1005Metric,51.9,-71.22,90.0,top
R3,5.1k,R_0402_1005Metric,55.8,-49.885,90.0,top
R30,100R,R_0402_1005Metric,47.09,-60.45,0.0,top
R31,33,R_0402_1005Metric,44.05,-79.7,90.0,top
R4,47k,R_0402_1005Metric,42.1,-53.48,0.0,top
R5,1.5k,R_0402_1005Metric,39.0,-57.59,-90.0,top
R6,3.9k,R_0402_1005Metric,42.1,-52.38,0.0,top
R7,5.1k,R_0402_1005Metric,37.31,-48.2,0.0,top
R8,10k,R_0402_1005Metric,36.8,-57.59,90.0,top
R9,100R,R_0402_1005Metric,44.95,-56.15,-90.0,top
SW1,SW_Push,SW_TS-1088-AR02016,61.15,-45.36,180.0,top
SW2,SW_SPDT,SW_SSSS811101,62.65,-54.75,90.0,top
SW3,SW_Push,SW_TS-1088-AR02016,38.65,-45.36,0.0,top
TH1,Thermistor_NTC,PinHeader_1x02_P2.54mm_Vertical,39.18,-65.0,90.0,top
U1,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,49.9,-65.35,90.0,top
U10,ADS1292IRSMT,QFN40P400X400X100-33N,54.645,-84.755,90.0,top
U12,TPD4E001DRSR.,SON95P315X315X80-7N,62.3772,-89.4027,0.0,top
U13,TPD4E001DRSR.,SON95P315X315X80-7N,62.3522,-76.5602,0.0,top
U2,TPS7A20xxxDBV,SOT-23-5,60.45,-70.95,270.0,top
U3,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,38.275,-54.2175,180.0,top
U4,AD5941BCPZ,QFN50P700X700X80-49N,44.0625,-84.9475,180.0,top
U5,AP2112K-3.3,SOT-23-5,51.85,-57.15,90.0,top
U6,USBLC6-2P6,SOT-666,49.3875,-52.995,-90.0,top
U7,MAX17048,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,56.548333,-57.2375,180.0,top
U8,W25Q128JVP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,60.325,-64.945,270.0,top
Y1,Crystal_GND24,Crystal_SMD_2016-4Pin_2.0x1.6mm,38.4,-69.07,90.0,top
